block_height,date,total_ethereum_supply,blockReward,totalFees,burntFees
22317689,2025-04-21T13:30:47Z,122373866217800000000000000,5523046833980457,15398325935603986,1847763529836000
22324862,2025-04-22T13:31:59Z,122373866217800000000000000,11867800791190495,79301501551422190,15979916217216000
22332021,2025-04-23T13:32:35Z,122373866217800000000000000,24851636629308414,64419520187087060,7517182332429000
22339189,2025-04-24T13:33:23Z,122373866217800000000000000,18959889570246537,197452517805495740,34251680557752000
22346351,2025-04-25T13:31:11Z,122373866217800000000000000,45554962064776965,85344134186837840,9325193403792000
22353498,2025-04-26T13:26:11Z,122373866217800000000000000,5726202996868307,12713114962306166,2534847895398000
22360683,2025-04-27T13:26:47Z,122373866217800000000000000,null,97070950352264780,1708418371632000
22367926,2025-04-28T13:41:59Z,122373866217800000000000000,22336355550075726,43552921049616780,4245097469760000
22375053,2025-04-29T13:36:11Z,122373866217800000000000000,21049403517964849,39440606379585590,5041446281529000
undefined,undefined,122373866217800000000000000,null,undefined,NaN
22389312,2025-05-01T13:30:59Z,122373866217800000000000000,85750310505444413,104601902965903120,4811639107464000
22396433,2025-05-02T13:31:47Z,122373866217800000000000000,null,97041907945570130,5178729242064000
22403550,2025-05-03T13:27:35Z,122373866217800000000000000,35493514343414874,51538439574376330,1340091298980000
undefined,undefined,122373866217800000000000000,19247928961415564,undefined,NaN
22417861,2025-05-05T13:32:59Z,122373866217800000000000000,null,40765978471697790,2756597244576000
22424995,2025-05-06T13:35:11Z,122373866217800000000000000,29710750857332878,70386238836630320,8898647573760000
22432089,2025-05-07T13:35:59Z,122373866217800000000000000,16633007601371661,84339977968892060,13701572233335000
22439133,2025-05-08T13:33:11Z,122373866217800000000000000,18520997290601201,296084261137664830,75488169567510000
22446226,2025-05-09T13:32:23Z,122373866217800000000000000,81298336558977318,316374914264519100,60017490363600000
22453287,2025-05-10T13:27:47Z,122373866217800000000000000,7188731433582790,27873195303892916,5446559623050000
22460391,2025-05-11T13:27:59Z,122373866217800000000000000,63980169337352866,119631153149005120,10113105487401000
22467535,2025-05-12T13:35:47Z,122373866217800000000000000,null,319843074534754750,60211093278735000
22474638,2025-05-13T13:35:59Z,122373866217800000000000000,2933191973380510,32864044028840292,4322978742285000
22481730,2025-05-14T13:34:23Z,122373866217800000000000000,47114589214695135,139986151956563580,16932789123075000
22488839,2025-05-15T13:33:23Z,122373866217800000000000000,135243981375967140,280480914050911420,24880697784852000
22495958,2025-05-16T13:33:35Z,122373866217800000000000000,35156646693667782,81879315351527310,11589711547680000
22503051,2025-05-17T13:28:11Z,122373866217800000000000000,14260948934449513,35899636071851932,4571471173962000
22510174,2025-05-18T13:28:47Z,122373866217800000000000000,null,33449985154306650,2041172266812000
22517340,2025-05-19T13:35:23Z,122373866217800000000000000,76959093878140100,124692198175652750,8791343068725000
22524462,2025-05-20T13:35:35Z,122373866217800000000000000,65228289045879053,122878238375000380,10009340390490000
22531598,2025-05-21T13:35:11Z,122373866217800000000000000,null,64758041056723470,7320151317150000
22538742,2025-05-22T13:34:59Z,122373866217800000000000000,43472989573976497,133720282372711600,23504030802630000
22545888,2025-05-23T13:33:11Z,122373866217800000000000000,91349281027860916,213074913494159740,23303975573760000
22553006,2025-05-24T13:29:47Z,122373866217800000000000000,42848385406439717,49938094722425480,1972116750996000
22560134,2025-05-25T13:28:47Z,122373866217800000000000000,null,22164367767358588,2260923040950000
22567282,2025-05-26T13:32:23Z,122373866217800000000000000,34776396618257441,91148945125712980,12971877769620000
22574453,2025-05-27T13:35:47Z,122373866217800000000000000,null,372763082485978940,58149371608650000
22581593,2025-05-28T13:35:47Z,122373866217800000000000000,27442614901641595,177398650417155170,28764057439908000
22588733,2025-05-29T13:33:59Z,122373866217800000000000000,5510693568772225,22440973951285456,5622364043856000
22595874,2025-05-30T13:33:59Z,122373866217800000000000000,null,144455761041526370,20401833390057000
22603023,2025-05-31T13:31:11Z,122373866217800000000000000,67229259540564654,105239398554519980,7903271263545000
22610155,2025-06-01T13:30:11Z,122373866217800000000000000,15455282500082276,37471597246003180,6085093245336000
22617325,2025-06-02T13:35:59Z,122373866217800000000000000,43839304905209730,123618023494870350,20146980192759000
22624469,2025-06-03T13:36:59Z,122373866217800000000000000,null,132266536963949540,20199875047884000
22631617,2025-06-04T13:37:47Z,122373866217800000000000000,20151395319867018,60097834331852620,13614388031223000
22638742,2025-06-05T13:35:47Z,122373866217800000000000000,31662577920348686,93071239819757840,17511324664806000
22645880,2025-06-06T13:35:11Z,122373866217800000000000000,33345874471878555,78904159494994510,13005831036576000
22653017,2025-06-07T13:29:59Z,122373866217800000000000000,19908658369931054,61154237943668350,12120479773038000
22660174,2025-06-08T13:30:11Z,122373866217800000000000000,15600620034172218,26953620700233024,2661179578512000
22667357,2025-06-09T13:35:47Z,122373866217800000000000000,26148510282990841,103190164753828850,19258831813536000
undefined,undefined,122373866217800000000000000,41246317515414619,undefined,NaN
22681659,2025-06-11T13:36:35Z,122373866217800000000000000,38163598146668757,182157893469910980,40045383333060000
22688823,2025-06-12T13:36:23Z,122373866217800000000000000,19956421122844624,152203881822028930,30463121149986000
22695969,2025-06-13T13:34:59Z,122373866217800000000000000,17257023957979114,34708371935873548,4394437067496000
22703103,2025-06-14T13:30:35Z,122373866217800000000000000,63943344240919096,71027339882202696,2127286686000000
22710244,2025-06-15T13:30:35Z,122373866217800000000000000,null,38268352059958180,4081418183808000
22717422,2025-06-16T13:37:23Z,122373866217800000000000000,141518379367872261,175402823976065150,4670940581622000
22724563,2025-06-17T13:35:47Z,122373866217800000000000000,28852962110506599,71804550398920530,9334919717991000
22731709,2025-06-18T13:36:59Z,122373866217800000000000000,32499080372173077,102390184527571000,13932791871495000
22738857,2025-06-19T13:35:11Z,122373866217800000000000000,35919179142414364,82457583539612930,11483937760344000
22746018,2025-06-20T13:34:35Z,122373866217800000000000000,null,87361393030390580,9797297697600000
22753147,2025-06-21T13:30:35Z,122373866217800000000000000,13257155085383769,16289996838697980,663061399308000
22760289,2025-06-22T13:30:35Z,122373866217800000000000000,232623764791910383,436113901817262300,19400975228376000
22767478,2025-06-23T13:38:35Z,122373866217800000000000000,77517197241820334,174913387900571260,25906721534610000
22774636,2025-06-24T13:37:59Z,122373866217800000000000000,null,235789855085900540,42357920366580000
22781796,2025-06-25T13:37:59Z,122373866217800000000000000,23445418616090187,120736315290127680,23943746614788000
22788954,2025-06-26T13:36:11Z,122373866217800000000000000,18834647986682278,55719286993117870,9022035710562000
undefined,undefined,122373866217800000000000000,93984534425760569,undefined,NaN
22803249,2025-06-28T13:30:47Z,122373866217800000000000000,null,37660344553112370,2587940128368000
undefined,undefined,122373866217800000000000000,23051802085706339,undefined,NaN
22817573,2025-06-30T13:36:35Z,122373866217800000000000000,16213070391142321,53240823861756890,8362772481000000
22824727,2025-07-01T13:36:47Z,122373866217800000000000000,49665991379526878,106891675230853060,12007724686356000
22831873,2025-07-02T13:35:59Z,122373866217800000000000000,null,137148512650211400,3925806688440000
22839032,2025-07-03T13:35:23Z,122373866217800000000000000,36084673278888861,84914653589729390,9991387741923000
22846184,2025-07-04T13:34:47Z,122373866217800000000000000,58560783848549008,94254446748941470,9552655748118000
22853330,2025-07-05T13:30:47Z,122373866217800000000000000,10050030176275936,18248648126084210,2072634352908000
22860475,2025-07-06T13:31:23Z,122373866217800000000000000,134554771055214907,149291151670069000,1705184442444000
22867657,2025-07-07T13:36:59Z,122373866217800000000000000,null,101006275987701740,16766430235632000
22874821,2025-07-08T13:39:23Z,122373866217800000000000000,31961697655919595,58869956822984130,5750227347480000
22881969,2025-07-09T13:37:11Z,122373866217800000000000000,54819836766486071,123182612580043250,16220409291744000
